--gold.txt-------ltp.txt----1
﻿1							      |	﻿
杨某甲								杨某甲
亲属								亲属
的								的
经济								经济
损失								损失
，被害							      |	，
人							      |	被害人
杨某甲								杨某甲
亲属								亲属
对								对
被告							      |	被告人
人							      <
肖某								肖某
表示								表示
谅解								谅解
，对							      |	，
被告							      |	对
人							      |	被告人
肖某								肖某
酌情								酌情
可								可
从轻								从轻
处罚								处罚
。								。
、								、
根据								根据
被告							      |	被告人
人							      <
肖某								肖某
的								的
犯罪								犯罪
情节								情节
及								及
悔罪								悔罪
表现								表现
，依法							      |	，
							      >	依法
可								可
对								对
其								其
适用								适用
缓刑								缓刑
。								。
为							      |	为了
了							      <
维护								维护
公共								公共
安全								安全
，								，
保障								保障
交通								交通
运输								运输
安全								安全
不								不
受								受
侵犯								侵犯
，								，
依照								依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、第							      |	、
六十七							      |	第六十七
条								条
第一								第一
款								款
、								、
第							      |	第七十二
七十二							      <
条								条
第一								第一
款								款
、第							      |	、
七十三							      |	第七十三
条								条
第一								第一
款								款
、第三							      |	、
							      >	第三
款								款
、								、
《								《
最							      |	最高
高							      <
人民								人民
法院								法院
关于								关于
审理								审理
交通								交通
肇事								肇事
刑事								刑事
案件								案件
具体								具体
应用								应用
若干								若干
问题								问题
的								的
解释								解释
》								》
第一								第一
条								条
、第二							      |	、
							      >	第二
条								条
第一								第一
款								款
第							      |	第（一）
（							      <
一							      <
）							      <
项								项
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、								、
被告人								被告人
肖某								肖某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
拘役								拘役
四个月							      |	四
，缓刑							      |	个
六个月							      |	月
							      >	，
							      >	缓刑
							      >	六
							      >	个
							      >	月
。								。
、（							      |	、
							      >	（
缓刑								缓刑
考验								考验
期限								期限
自								自
判决								判决
确定								确定
之								之
日								日
起								起
计算								计算
）								）
。								。
INSERTIONS:	25
DELETIONS:	13
SUBSTITUTIONS:	53
NCHANGE:	91
NTRUTH:	239
NTEST:	251
TRUE WORDS RECALL:	0.724
TEST WORDS PRECISION:	0.689
--gold.txt-------ltp.txt----9
9:							      |	9
							      >	:
本院								本院
认为								认为
，被告							      |	，
人							      |	被告人
徐某								徐某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，因							      |	，
而							      |	因而
发生								发生
重大								重大
交通								交通
事故								事故
，致							      |	，
一人							      |	致
							      >	一
							      >	人
死亡								死亡
，其							      |	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。								。
、								、
公诉								公诉
机关								机关
指控								指控
的								的
犯罪								犯罪
事实								事实
清楚								清楚
，								，
证据								证据
充分								充分
，								，
罪名								罪名
成立								成立
。								。
、								、
被告							      |	被告人
人							      |	徐某案
徐某							      |	发
案发							      <
后								后
投案								投案
自首								自首
，依法							      |	，
							      >	依法
可以								可以
从轻								从轻
处罚								处罚
。								。
、								、
鉴于								鉴于
被告							      |	被告人
人							      <
徐某								徐某
认罪								认罪
态度								态度
较								较
好								好
，犯罪							      |	，
							      >	犯罪
情节								情节
较								较
轻								轻
，								，
与								与
被害							      |	被害人
人							      <
亲属								亲属
达成								达成
赔偿								赔偿
协议								协议
，取得							      |	，
							      >	取得
了								了
谅解								谅解
，								，
有								有
悔罪								悔罪
表现								表现
，								，
没有								没有
再								再
犯罪								犯罪
的								的
危险								危险
，宣告							      |	，
							      >	宣告
缓刑								缓刑
对								对
其								其
所								所
居住								居住
的								的
社区								社区
没有								没有
重大								重大
不良								不良
影响								影响
，依法							      |	，
							      >	依法
可								可
宣告								宣告
缓刑								缓刑
。								。
依照								依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百三十三						      <
条								条
、								、
第							      |	第六十七
六十七							      <
条								条
第一								第一
款								款
、								、
第							      |	第七十二
七十二							      <
条								条
第一								第一
款								款
、								、
第							      |	第七十三
七十三							      <
条								条
第二								第二
款								款
、第三							      |	、
							      >	第三
款								款
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
徐某								徐某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      |	三
三年							      |	年
，缓刑							      |	，
四年							      |	缓刑
							      >	四
							      >	年
。								。
、（							      |	、
							      >	（
缓刑								缓刑
考验								考验
期							      |	期自
自							      <
判决								判决
确定								确定
之								之
日								日
起								起
计							      |	计算
算							      <
）								）
。								。
INSERTIONS:	15
DELETIONS:	9
SUBSTITUTIONS:	38
NCHANGE:	62
NTRUTH:	167
NTEST:	173
TRUE WORDS RECALL:	0.719
TEST WORDS PRECISION:	0.694
--gold.txt-------ltp.txt----10
10:							      |	10
							      >	:
本院								本院
认为								认为
，								，
被告人								被告人
刘文鹏								刘文鹏
违反								违反
道路								道路
交通								交通
运输								运输
管理								管理
法规								法规
，因							      |	，
而							      |	因而
发生								发生
重							      |	重大
大							      <
事故								事故
，致							      |	，
一人							      |	致
							      >	一
							      >	人
死亡								死亡
、多人							      |	、
							      >	多
							      >	人
受伤								受伤
，其中							      |	，
一人							      |	其中
							      >	一
							      >	人
重伤								重伤
，造成							      |	，
							      >	造成
叁级								叁级
伤残								伤残
，负							      |	，
							      >	负
事故								事故
主要								主要
责任								责任
。								。
、								、
事故								事故
发生								发生
后								后
，								，
被告							      |	被告人
人							      <
刘文鹏								刘文鹏
弃车							      |	弃
							      >	车
逃逸								逃逸
。								。
、								、
其								其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。								。
、								、
唐山市								唐山市
曹妃甸区							曹妃甸区
人民检察院						      |	人民
							      >	检察院
指控								指控
其								其
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      <
的								的
罪名								罪名
成立								成立
。								。
、								、
案发								案发
后								后
，								，
被告							      |	被告人
人							      <
刘文鹏								刘文鹏
主动								主动
投案								投案
并								并
如实								如实
交代								交代
所								所
犯								犯
罪行								罪行
，								，
系								系
自首								自首
，可以							      |	，
							      >	可以
从轻								从轻
或者								或者
减轻								减轻
处罚								处罚
；								；
被告人								被告人
刘文鹏								刘文鹏
认罪								认罪
态度								态度
较好							      |	较
，积极							      |	好
							      >	，
							      >	积极
赔偿								赔偿
被害							      |	被害者
者							      <
家属								家属
的								的
经济								经济
损失，取得						      |	损失
							      >	，
							      >	取得
了								了
被害							      |	被害者
者							      <
家属								家属
的								的
谅解								谅解
，有							      |	，
							      >	有
悔罪								悔罪
表现								表现
，								，
可								可
依法								依法
适用								适用
缓刑								缓刑
。								。
、								、
本案								本案
附带								附带
民事								民事
诉讼								诉讼
被告							      |	被告人
人							      <
刘敏堂								刘敏堂
，虽							      |	，
							      >	虽
系								系
肇事								肇事
车辆								车辆
的								的
所有人							      |	所有
，但							      |	人
							      >	，
							      >	但
不								不
存在								存在
过错								过错
，不							      |	，
							      >	不
承担								承担
本案								本案
的								的
赔偿								赔偿
责任								责任
。								。
、								、
由于								由于
被告							      |	被告人
人							      <
刘文鹏								刘文鹏
的								的
犯罪								犯罪
行为								行为
，给							      |	，
							      >	给
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
造成								造成
							      >	的
合理								合理
经济损失						      |	经济
，以							      |	损失
							      >	，
							      >	以
本院								本院
核定								核定
的								的
损失								损失
数额								数额
为								为
准								准
。								。
、								、
该								该
损失								损失
首先								首先
由								由
中国								中国
太平洋								太平洋
财产								财产
险							      |	保险
股份								股份
有限							      |	有限公司
公司							      <
秦皇岛								秦皇岛
中心								中心
支								支
公司								公司
在								在
交强险								交强险
无责任							      |	无
							      >	责任
限额								限额
内								内
予以								予以
赔偿								赔偿
，								，
再								再
由								由
中国								中国
人寿								人寿
财产								财产
保险								保险
股份								股份
有限公司							有限公司
秦皇岛市						      |	秦皇岛
中心							      |	市中心
支公司							      |	支
							      >	公司
在								在
交强险								交强险
的								的
有责								有责
限额								限额
内								内
予以								予以
赔偿								赔偿
。								。
、								、
不足								不足
部分								部分
由								由
中国								中国
人寿								人寿
财产								财产
保险								保险
股份								股份
有限							      |	有限公司
							      >	秦皇岛
							      >	市中心
							      >	支
公司								公司
秦皇岛市						      <
中心							      <
支公司							      <
在								在
商业								商业
第三者								第三者
责任								责任
保险								保险
限额								限额
内								内
按照								按照
30%								30%
的								的
比例								比例
予以								予以
赔偿								赔偿
。								。
、								、
由于								由于
保险								保险
限额								限额
内								内
能								能
得到								得到
足额								足额
赔偿								赔偿
，故							      |	，
							      >	故
本案								本案
附带								附带
民事								民事
诉讼								诉讼
被告							      |	被告人
人							      <
杨永								杨永
、温学志						      |	、
							      >	温学志
、								、
张秀梅								张秀梅
不								不
承担								承担
赔偿								赔偿
责任								责任
。								。
、中国							      |	、
							      >	中国
人寿								人寿
财产								财产
保险								保险
股份								股份
有限							      |	有限公司
							      >	秦皇岛
							      >	市中心
							      >	支
公司								公司
秦皇岛市						      <
中心							      <
支公司							      <
关于								关于
原告							      |	原告方
方							      <
的								的
损失								损失
数额								数额
应当								应当
按照								按照
农村								农村
标准								标准
计算								计算
、张某							      |	、
							      >	张某
2								2
伤残								伤残
鉴定								鉴定
不								不
符合								符合
程序								程序
申请								申请
重新								重新
鉴定								鉴定
的								的
辩解								辩解
意见								意见
无理								无理
，本院							      |	，
							      >	本院
不予								不予
采纳								采纳
。								。
、由于							      |	、
							      >	由于
各								各
原告							      |	原告方
方							      <
与								与
被告							      |	被告人
人							      <
刘文鹏								刘文鹏
就								就
保险							      |	保险外
外							      <
赔偿								赔偿
问题								问题
已								已
达成								达成
调解								调解
，故							      |	，
本							      |	故本
判决								判决
不再								不再
涉及								涉及
刘文鹏								刘文鹏
附带								附带
民事								民事
赔偿								赔偿
问题								问题
。本院								。本院
依照								依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百三十三						      |	条
							      >	、
							      >	第七十二
							      >	条
							      >	、
							      >	第七十三
条								条
、第							      |	、
七十二							      |	第六十七
条								条
、第							      |	、
七十三							      |	《
条、第							      <
六十七							      <
条、《							      <
中华人民共和国							中华人民共和国
道路								道路
交通								交通
安全							      |	安全法
法							      |	》
》第七十六条、《中华人民共和国				      |	第七十六
保险							      |	条
法》第							      |	、
六十四							      |	《
条、第							      |	中华人民共和国
六十五							      |	保险法
条、最高						      |	》
							      >	第六十四
							      >	条
							      >	、
							      >	第六十五
							      >	条
							      >	、
							      >	最高
人民								人民
法院《关于						      |	法院
							      >	《
							      >	关于
审理								审理
人身								人身
损害								损害
赔偿								赔偿
案件								案件
应用								应用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》第							      |	》
十七							      |	第十七
条								条
、第							      |	、
十九							      |	第十九
条								条
、第							      |	、
二十							      |	第二十
条								条
、第							      |	、
二十一							      |	第二十一
条								条
、第							      |	、
二十二							      |	第二十二
条								条
、								、
第							      |	第二十三
二十三							      <
条								条
、第							      |	、
二十四							      |	第二十四
条								条
、第							      |	、
二十五							      |	第二十五
条								条
、第							      |	、
二十七							      |	第二十七
条								条
、第							      |	、
二十八							      |	第二十八
条								条
、第							      |	、
二十九							      |	第二十九
条								条
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、								、
一								一
、								、
被告							      |	被告人
人							      <
刘文鹏								刘文鹏
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      |	三
三年							      |	年
，缓刑							      |	，
三年							      |	缓刑
							      >	三
							      >	年
。								。
、缓刑							      |	、
							      >	缓刑
考验								考验
期限								期限
自								自
判决								判决
确定								确定
之								之
日								日
起								起
计算								计算
。								。
、二							      |	、
、中国							      |	二
							      >	、
							      >	中国
太平洋								太平洋
财产								财产
保险								保险
股份								股份
有限							      |	有限公司
公司							      <
秦皇岛								秦皇岛
中心								中心
支公司							      |	支
							      >	公司
在								在
交强险								交强险
的								的
死亡								死亡
及								及
伤残								伤残
限额								限额
内								内
赔偿								赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
张某								张某
1								1
、								、
刘某								刘某
、								、
杨某								杨某
1								1
人民币								人民币
3164.22元						      |	3164.22
、赔偿							      |	元
							      >	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
张某								张某
2								2
人民币								人民币
7769.56								7769.56
元								元
、赔偿							      |	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
安某								安某
人民币								人民币
66.22元							      |	66.22
							      >	元
；								；
在								在
医疗								医疗
费用								费用
限额								限额
内								内
赔偿								赔偿
张某								张某
2								2
人民币								人民币
851.77元						      |	851.77
							      >	元
元								元
、								、
赔偿								赔偿
安某								安某
人民币								人民币
148.23元						      |	148.23
							      >	元
。								。
、								、
于								于
判决								判决
生效								生效
后								后
十日							      |	十
							      >	日
内								内
给付							      |	给
							      >	付
。								。
、								、
三								三
、中国							      |	、
							      >	中国
人寿								人寿
财产								财产
保险								保险
股份								股份
有限							      |	有限公司
							      >	秦皇岛
							      >	市中心
							      >	支
公司								公司
秦皇岛市						      <
中心							      <
支公司							      <
在								在
交强险								交强险
的								的
死亡								死亡
及								及
伤残								伤残
限额								限额
内								内
赔偿								赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
张某								张某
1								1
、								、
刘某								刘某
、								、
杨某								杨某
1								1
人民币								人民币
31642.19元						      |	31642.19
、赔偿							      |	元
							      >	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人张某							      |	张某
2								2
人民币								人民币
77695.55							77695.55
元								元
、赔偿							      |	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
安某								安某
人民币								人民币
662.26元						      |	662.26
；在							      |	元
							      >	；
							      >	在
医疗								医疗
费用								费用
限额								限额
内								内
赔偿								赔偿
张某								张某
2								2
人民币								人民币
8517.66元						      |	8517.66
、赔偿							      |	元
							      >	、
							      >	赔偿
安某								安某
1482.34元						      |	148
							      >	2.34
							      >	元
。								。
、在							      |	、
							      >	在
商业								商业
第三者								第三者
责任								责任
保险								保险
限额								限额
内								内
赔偿								赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
张某								张某
1								1
、刘某							      |	、
							      >	刘某
人民币								人民币
154777.74							154777.74
【（							      |	【
550732.21						      |	（
-							      |	550732.21-31642.19-3164.22
31642.19						      |	）
-							      |	×
3164.22）×30%】元、赔偿					      |	30%
							      >	】
							      >	元
							      >	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
张某								张某
2								2
人民币								人民币
377236.92							377236.92
【（1352290.95-77695.55-7769.56-8517.66-851.77）×30%】元、赔  |	【
							      >	（
							      >	1352290.95-77695.55-7769.56-8517.66-851.77
							      >	）
							      >	×
							      >	30%
							      >	】
							      >	元
							      >	、
							      >	赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
安某								安某
人民币								人民币
10091.26							10091.26
【								【
（								（
35996.6							      |	35996.6-662.26-66.22-1482.34-148.23
-							      |	）
662.26							      |	×
-							      <
66.22							      <
-							      <
1482.34							      <
-							      <
148.23							      <
）×							      <
30%								30%
】								】
元								元
，于							      |	，
							      >	于
判决								判决
生效								生效
后								后
十日							      |	十
							      >	日
内								内
给								给
付								付
。								。
、								、
四								四
、附带							      |	、
							      >	附带
民事								民事
诉讼								诉讼
被告人								被告人
刘敏堂								刘敏堂
、								、
杨永								杨永
、								、
温学志								温学志
、								、
张秀梅								张秀梅
不								不
承担								承担
本案								本案
的								的
赔偿								赔偿
责任								责任
。								。
INSERTIONS:	100
DELETIONS:	44
SUBSTITUTIONS:	149
NCHANGE:	293
NTRUTH:	674
NTEST:	730
TRUE WORDS RECALL:	0.714
TEST WORDS PRECISION:	0.659
--gold.txt-------ltp.txt----11
11								11
:								:
本院								本院
认为								认为
，								，
被告人								被告人
陈某								陈某
违反								违反
道路								道路
交通								交通
管理								管理
法规								法规
，								，
未								未
依法								依法
取得								取得
机动车								机动车
驾驶证								驾驶证
驾驶								驾驶
无号牌							      |	无
机动车辆						      |	号牌
							      >	机动
							      >	车辆
上								上
道路								道路
行驶								行驶
，								，
遇								遇
行人								行人
在								在
道路								道路
上								上
通行								通行
时								时
又								又
未								未
注意								注意
避让								避让
，								，
发生								发生
交通								交通
事故								事故
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
并								并
负								负
事故								事故
的								的
全部								全部
责任								责任
，								，
其								其
行为								行为
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
公诉								公诉
机关								机关
指控								指控
的								的
事实								事实
和								和
罪名								罪名
成立								成立
，								，
本院								本院
予以								予以
支持								支持
。								。
、								、
被告人								被告人
陈某								陈某
自愿								自愿
认罪								认罪
，								，
并								并
能								能
如实								如实
供述								供述
自己								自己
的								的
罪行								罪行
，								，
依法								依法
可以								可以
从轻								从轻
处罚								处罚
。								。
据此								据此
，								，
对								对
被告人								被告人
陈某								陈某
适用								适用
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
、							      |	条
第四十五条						      <
、								、
第四十七条						      |	第四十五
							      >	条
、								、
第六十一条						      |	第四十七
							      >	条
、								、
第六十七条						      |	第六十一
第三款							      |	条
							      >	、
							      >	第六十七
							      >	条
							      >	第三
							      >	款
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
陈某								陈某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
五年							      |	五
							      >	年
。								。
、								、
（								（
刑期								刑期
从								从
判决								判决
执行								执行
之日							      |	之
							      >	日
起								起
计算								计算
，								，
判决								判决
以前								以前
先行								先行
羁押								羁押
的								的
，								，
羁押								羁押
一日							      |	一
折抵							      |	日
							      >	折
							      >	抵
刑期								刑期
一日								一日
，								，
即								即
从								从
2016年								2016年
2月								2月
29日								29日
起								起
至								至
2021年								2021年
2月								2月
28日								28日
止								止
。								。
INSERTIONS:	17
DELETIONS:	1
SUBSTITUTIONS:	15
NCHANGE:	33
NTRUTH:	160
NTEST:	176
TRUE WORDS RECALL:	0.900
TEST WORDS PRECISION:	0.818
--gold.txt-------ltp.txt----12
12								12
:								:
本院								本院
认为								认为
，								，
被告人								被告人
陈某某							      |	陈
							      >	某某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，								，
因而								因而
引发								引发
交通事故						      |	交通
							      >	事故
，								，
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
负								负
事故								事故
主要								主要
责任								责任
，								，
公诉								公诉
机关								机关
指控								指控
其								其
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
罪名								罪名
成立								成立
。								。
、								、
案发								案发
后								后
，								，
被告人								被告人
陈某某							      |	陈
							      >	某某
在								在
现场								现场
等待								等待
交警								交警
部门								部门
的								的
处理								处理
，								，
并								并
当庭								当庭
自愿								自愿
认罪								认罪
，								，
积极								积极
赔偿								赔偿
被害人								被害人
亲属								亲属
全部								全部
经济								经济
损失								损失
，								，
并								并
取得								取得
被害人								被害人
亲属								亲属
的								的
谅解								谅解
，								，
可以								可以
酌情								酌情
从轻								从轻
处罚								处罚
。								。
、								、
鉴于								鉴于
被告人								被告人
陈某某							      |	陈
							      >	某某
具备								具备
非监禁刑						      |	非监
							      >	禁刑
实施								实施
条件								条件
，								，
可以								可以
对								对
其								其
适用								适用
非监禁刑						      |	非监禁
							      >	刑
。								。
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
、								、
第四十二条						      |	第四十二
							      >	条
、								、
第四十四条						      |	第四十四
							      >	条
、								、
第七十二条						      |	第七十二
							      >	条
、								、
第七十三条						      |	第七十三
							      >	条
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
陈某某							      |	陈
							      >	某某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
拘役								拘役
五个月							      |	五
							      >	个
							      >	月
，								，
缓刑								缓刑
六个月							      |	六
							      >	个
							      >	月
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
本								本
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	20
DELETIONS:	0
SUBSTITUTIONS:	18
NCHANGE:	38
NTRUTH:	138
NTEST:	158
TRUE WORDS RECALL:	0.870
TEST WORDS PRECISION:	0.759
--gold.txt-------ltp.txt----13
13								13
:								:
本院								本院
认为								认为
，								，
被告人								被告人
翟某								翟某
在								在
驾驶								驾驶
机动车								机动车
上路								上路
行驶								行驶
中								中
，								，
违反								违反
道路								道路
交通								交通
安全								安全
法律								法律
、								、
法规								法规
的								的
有关								有关
规定								规定
，								，
未能								未能
保持								保持
安全								安全
车速								车速
，								，
进而								进而
引发								引发
事故								事故
发生								发生
，								，
造成								造成
一人							      |	一
							      >	人
死亡								死亡
的								的
严重								严重
后果								后果
，								，
且								且
负								负
事故								事故
的								的
主要								主要
责任								责任
，								，
其								其
行为								行为
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事罪
，								，
应予							      |	应
							      >	予
处罚								处罚
。								。
、								、
公诉								公诉
机关								机关
指控								指控
的								的
事实								事实
和								和
罪名								罪名
成立								成立
。								。
、								、
被告人								被告人
翟某								翟某
在								在
案发								案发
后								后
报警								报警
并								并
主动								主动
到								到
公安								公安
机关								机关
投案								投案
，								，
如实								如实
供述								供述
其								其
全部								全部
犯罪								犯罪
事实								事实
，								，
属								属
自首								自首
。								。
、								、
同时								同时
其								其
家属								家属
代								代
其								其
积极								积极
向								向
受害人								受害人
家属								家属
给予								给予
一定								一定
数额								数额
的								的
经济								经济
补偿								补偿
，								，
取得								取得
了								了
受害人								受害人
家属								家属
的								的
谅解								谅解
，								，
根据								根据
其								其
犯罪								犯罪
情节								情节
和								和
悔罪								悔罪
表现								表现
，								，
可								可
对								对
其								其
从轻								从轻
处罚								处罚
，								，
决定								决定
对								对
其								其
宣告								宣告
缓刑								缓刑
。								。
、								、
因								因
被告人								被告人
翟某								翟某
的								的
犯罪								犯罪
行为								行为
给								给
附带								附带
民事								民事
诉讼								诉讼
原告人								原告人
造成								造成
的								的
损失								损失
理应								理应
按								按
责任								责任
比例								比例
给与							      |	给
							      >	与
赔偿								赔偿
。								。
、								、
被告人								被告人
翟某								翟某
受雇								受雇
于								于
车主								车主
黄某某							      |	黄
							      >	某某
，								，
肇事								肇事
车辆								车辆
挂靠								挂靠
于								于
榆林市								榆林市
海鑫								海鑫
汽车								汽车
运输								运输
有限								有限
责任公司						      |	责任
							      >	公司
，								，
因此								因此
所								所
造成								造成
的								的
损失								损失
应由							      |	应
							      >	由
榆林市								榆林市
海鑫								海鑫
汽车								汽车
运输								运输
有限								有限
责任								责任
公司								公司
和								和
黄某某							      |	黄
							      >	某某
承担								承担
连带								连带
赔偿								赔偿
责任								责任
，								，
但								但
该							      |	该车
车							      <
在								在
中国人民平安财产保险股份有限公司			      |	中国
榆林中心						      |	人民
支公司							      |	平安
							      >	财产
							      >	保险
							      >	股份
							      >	有限公司
							      >	榆林
							      >	中心
							      >	支
							      >	公司
投保								投保
了								了
“								“
交强险								交强险
”								”
和								和
“								“
商业								商业
第三者								第三者
责任险								责任险
”								”
，								，
故								故
该								该
损失								损失
应由							      |	应
保险公司						      |	由
							      >	保险
							      >	公司
在								在
保险责任						      |	保险
							      >	责任
限额								限额
范围								范围
内								内
先行								先行
赔付								赔付
，								，
不足								不足
部分								部分
由								由
附带								附带
民事								民事
诉讼								诉讼
被告人								被告人
榆林市								榆林市
海鑫汽车运输有限责任公司				      |	海鑫
							      >	汽车
							      >	运输
							      >	有限
							      >	责任
							      >	公司
和								和
黄某某							      |	黄
							      >	某某
承担								承担
。								。
、								、
因								因
受害人								受害人
尤万民								尤万民
在								在
本次								本次
交通								交通
事故								事故
中								中
负							      |	负次
次要							      |	要
责任								责任
，								，
则								则
保险公司						      |	保险
							      >	公司
首先								首先
在								在
交强险								交强险
责任								责任
限额								限额
范围								范围
内								内
赔偿								赔偿
220000元						      |	220000
							      >	元
，								，
剩余								剩余
245059元						      |	245059
							      >	元
在								在
商业险							      |	商业
							      >	险
责任								责任
限额								限额
范围								范围
内								内
按								按
比例								比例
赔偿								赔偿
220553元						      |	220553
							      >	元
，								，
共计								共计
440553元						      |	440553
							      >	元
。								。
、								、
因								因
赔偿								赔偿
数额								数额
未								未
超过								超过
保险								保险
责任								责任
限额								限额
，								，
故								故
刑事								刑事
附带								附带
民事								民事
诉讼								诉讼
被告人								被告人
榆林市海鑫汽车运输有限责任公司				      |	榆林市
							      >	海鑫
							      >	汽车
							      >	运输
							      >	有限
							      >	责任
							      >	公司
、								、
黄某某							      |	黄
							      >	某某
在								在
本案								本案
中								中
不再								不再
承担								承担
赔偿								赔偿
责任								责任
。								。
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
、								、
第六十七条						      |	第六十七
第一款							      |	条
							      >	第一
							      >	款
、								、
第七十二条						      |	第七十二
							      >	条
、								、
《								《
中华人民共和国							中华人民共和国
侵权责任法						      |	侵权
							      >	责任法
》								》
第十六条						      |	第十六
							      >	条
、								、
《								《
最高人民法院						      |	最高
							      >	人民
							      >	法院
关于								关于
审理								审理
道路								道路
交通								交通
事故								事故
损害								损害
赔偿								赔偿
案件								案件
适用								适用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》								》
第三条							      |	第三
							      >	条
和								和
第十六条						      |	第十六
							      >	条
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
一								一
、								、
被告人								被告人
翟某								翟某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
一年							      |	一
							      >	年
又								又
六个月							      |	六
							      >	个
							      >	月
，								，
宣告								宣告
缓刑								缓刑
二年							      |	二
							      >	年
（								（
缓刑								缓刑
考验								考验
期限								期限
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
、								、
二								二
、								、
由								由
中国人民平安财产保险股份有限公司			      |	中国
榆林中心						      |	人民
支公司							      |	平安
							      >	财产
							      >	保险
							      >	股份
							      >	有限公司
							      >	榆林
							      >	中心
							      >	支
							      >	公司
赔偿								赔偿
刑事								刑事
附带								附带
民事								民事
诉讼								诉讼
原告人								原告人
王某								王某
、								、
苟某某							      |	苟
							      >	某某
各项								各项
经济								经济
损失								损失
共计								共计
440563元						      |	440563
							      >	元
。								。
INSERTIONS:	64
DELETIONS:	1
SUBSTITUTIONS:	46
NCHANGE:	111
NTRUTH:	405
NTEST:	468
TRUE WORDS RECALL:	0.884
TEST WORDS PRECISION:	0.765
--gold.txt-------ltp.txt----14
14								14
:								:
本院								本院
认为								认为
，								，
被告人								被告人
陈某甲								陈某甲
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，								，
因而								因而
发生								发生
重大								重大
交通								交通
事故								事故
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
其								其
行为								行为
危害								危害
了								了
公共								公共
安全								安全
，								，
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
陈某甲								陈某甲
归案								归案
后								后
如实								如实
供述								供述
了								了
自己								自己
的								的
罪行								罪行
，								，
取得								取得
了								了
